Campo,Voltas,Melhor Gross,Média Gross,Pior Gross,Média Stableford,Melhor Score Differential
Santo da Serra - Serras-Machico,16,,,,19.88,10.30
Palheiro Golf,13,,,,24.15,11.60
Santo da Serra - Desertas-Serras,13,,,,27.46,13.70
Porto Santo Golfe,13,,,,26.92,13.60
Santo da Serra - Machico-Desertas,10,,,,30.60,14.60
Santo Estevão Golf,9,,,,24.89,19.50
Miramar,8,,,,23.38,16.30
INTERNACIONAL,5,,,,30.80,11.40
Jamor,4,,,,20.00,15.70
PGA  Aroeira No.2,3,,,,28.00,11.10
Vale Pisão,3,,,,26.33,18.70
Golf Du Touquet La Foret,3,,,,43.33,4.20
Ribagolfe Oaks,3,,,,28.33,20.90
Faldo Course,3,,,,16.67,25.10
Terras da Comporta Dunas Golf Course,2,,,,30.50,16.90
Troia Golf,2,,,,29.00,15.70
Terras da Comporta Torre Golf Course,2,,,,31.00,12.80
Vilamoura - Millennium,2,,,,32.50,22.50
Quinta do Lago Laranjal,1,,,,30.00,17.50
Golden Palm,1,,,,42.00,7.70
Daily Mail World Junior Golf Championship D3,1,,,,35.00,20.20
Daily Mail World Junior Golf Championship D2,1,,,,40.00,15.90
PGA  Aroeira No.1,1,,,,28.00,27.50
Royal Óbidos,1,,,,21.00,32.00
Ribagolfe Lakes,1,,,,30.00,24.60
Estoril,1,,,,43.00,17.00
Vila Sol - Challenge / Prestige (10-27),1,,,,20.00,25.20
O Jogador demonstra mínimos para participar nos torneios level up,1,,,,0.00,0.00
Campo desconhecido,1,,,,0.00,0.00
